Date,Location,Name,Team,Time,Place
12/13 - 12/15/13,"Manhattan College-Draddy Gymnasium - Riverdale, NY","VERAS, JOSE",Zenith Velocity AC,50.93,3
12/13 - 12/15/13,"Manhattan College-Draddy Gymnasium - Riverdale, NY","Valley, Dexter",St. Peter's,51.19,4
12/13 - 12/15/13,"Manhattan College-Draddy Gymnasium - Riverdale, NY","Burgess, Nigel ",ASA College,51.88,5
12/13 - 12/15/13,"Manhattan College-Draddy Gymnasium - Riverdale, NY","Malespina, John",Monmouth,51.89,6
12/13 - 12/15/13,"Manhattan College-Draddy Gymnasium - Riverdale, NY","Willaims , Kwesi ",ASA College,52.32,7
12/13 - 12/15/13,"Manhattan College-Draddy Gymnasium - Riverdale, NY","Herrera, John Paul",St. Peter's,52.35,8
12/13 - 12/15/13,"Manhattan College-Draddy Gymnasium - Riverdale, NY","James Jr., LeaQuan ",ASA College,52.42,9
12/13 - 12/15/13,"Manhattan College-Draddy Gymnasium - Riverdale, NY","Reyes, Luis",Monmouth,52.55,10
12/13 - 12/15/13,"Manhattan College-Draddy Gymnasium - Riverdale, NY","Desil, Karl",St. Peter's,52.61,11
12/13 - 12/15/13,"Manhattan College-Draddy Gymnasium - Riverdale, NY","BROWN, MICHAEL",Zenith Velocity AC,52.63,12
12/13 - 12/15/13,"Manhattan College-Draddy Gymnasium - Riverdale, NY","Baxter, Jose",St. Peter's,52.66,13
12/13 - 12/15/13,"Manhattan College-Draddy Gymnasium - Riverdale, NY","Otuonye, Chukwumereije",ISAA,52.86,14
12/13 - 12/15/13,"Manhattan College-Draddy Gymnasium - Riverdale, NY","Staskowski, Robert",Monmouth,53.02,15
12/13 - 12/15/13,"Manhattan College-Draddy Gymnasium - Riverdale, NY","Feigin, Jonathan",Montclair State,53.22,16
12/13 - 12/15/13,"Manhattan College-Draddy Gymnasium - Riverdale, NY","Cham, James",Montclair State,53.30,17
12/13 - 12/15/13,"Manhattan College-Draddy Gymnasium - Riverdale, NY","Sullivan, Kevin ",Monmouth,53.34,18
12/13 - 12/15/13,"Manhattan College-Draddy Gymnasium - Riverdale, NY","Finney , Lamar ",ASA College,53.40,19
12/13 - 12/15/13,"Manhattan College-Draddy Gymnasium - Riverdale, NY","Brown, Ron",Monmouth,53.69,20
12/13 - 12/15/13,"Manhattan College-Draddy Gymnasium - Riverdale, NY","Barreira, Daniel",Montclair State,53.71,21
12/13 - 12/15/13,"Manhattan College-Draddy Gymnasium - Riverdale, NY","Dijols, Jason",Monmouth,54.67,22
12/13 - 12/15/13,"Manhattan College-Draddy Gymnasium - Riverdale, NY","Bruce, Khalid ",ASA College,55.15,23
12/13 - 12/15/13,"Manhattan College-Draddy Gymnasium - Riverdale, NY","ROBERTSON, ANTHONY",Zenith Velocity AC,55.47,24
12/13 - 12/15/13,"Manhattan College-Draddy Gymnasium - Riverdale, NY","Jones, Christopher",CC of Philadelphia,55.63,25
12/13 - 12/15/13,"Manhattan College-Draddy Gymnasium - Riverdale, NY","Patterson, Brandon",CC of Philadelphia,56.01,26
12/13 - 12/15/13,"Manhattan College-Draddy Gymnasium - Riverdale, NY","Rivera , Adalberto ",Lehman,56.89,27
12/13 - 12/15/13,"Manhattan College-Draddy Gymnasium - Riverdale, NY","Quinones, Justin",Lehman,1:04.95,28
12/13 - 12/14/13,"Nebraska-Kearney-Cushing FH - Kearney, NE","Giudice, Matthew",Hastings,51.59,1
12/13 - 12/14/13,"Nebraska-Kearney-Cushing FH - Kearney, NE","Miller, Dylan",Hastings,51.70,2
12/13 - 12/14/13,"Nebraska-Kearney-Cushing FH - Kearney, NE","Wichert, Spencer",Nebraska-Kearney,52.13,3
12/13 - 12/14/13,"Nebraska-Kearney-Cushing FH - Kearney, NE","Foster, Jamey",Nebraska-Kearney,52.18,4
12/13 - 12/14/13,"Nebraska-Kearney-Cushing FH - Kearney, NE","Shaw, Jason",Unattached,52.58,5
12/13 - 12/14/13,"Nebraska-Kearney-Cushing FH - Kearney, NE","Campbell, Alex",UNAT-Nebraska-Kearney,52.63,6
12/13 - 12/14/13,"Nebraska-Kearney-Cushing FH - Kearney, NE","Bellamy, Reed",Nebraska-Kearney,53.02,7
12/13 - 12/14/13,"Nebraska-Kearney-Cushing FH - Kearney, NE","Doerr, Mickey",Wayne St. (Neb.),53.03,8
12/13 - 12/14/13,"Nebraska-Kearney-Cushing FH - Kearney, NE","Riddle, Trent ",Hastings,54.45,9
12/13 - 12/14/13,"Nebraska-Kearney-Cushing FH - Kearney, NE","Varela, Steven ",Wayne St. (Neb.),56.38,10
12/13/13,"Grand Valley State-Laker Turf Building - Allendale, MI","Marshall, Deshawn",Indiana Tech,48.74,1
12/13/13,"Grand Valley State-Laker Turf Building - Allendale, MI","Marrow, Devon",Indiana Tech,48.80,2
12/13/13,"Grand Valley State-Laker Turf Building - Allendale, MI","Person, Dareyus",Indiana Tech,48.82,3
12/13/13,"Grand Valley State-Laker Turf Building - Allendale, MI","Ruth, D'Quan",Indiana Tech,49.34,4
12/13/13,"Grand Valley State-Laker Turf Building - Allendale, MI","Burnett, TJ",Grand Valley St.,49.43,5
12/13/13,"Grand Valley State-Laker Turf Building - Allendale, MI","Hoffman, Logan",Grand Valley St.,50.15,6
12/13/13,"Grand Valley State-Laker Turf Building - Allendale, MI","Pung, Daniel",Grand Valley St.,50.89,7
12/13/13,"Grand Valley State-Laker Turf Building - Allendale, MI","Blue, Alec",Unattached GV,51.17,8
12/13/13,"Grand Valley State-Laker Turf Building - Allendale, MI","Cavender, Ryan",Indiana Tech,51.32,9
12/13/13,"Grand Valley State-Laker Turf Building - Allendale, MI","mcelwee-gross, dominick",Unattached,51.37,10
12/13/13,"Grand Valley State-Laker Turf Building - Allendale, MI","Brewster, Ryan",Illinois Track Club,51.39,11
12/13/13,"Grand Valley State-Laker Turf Building - Allendale, MI","Melinn, Ross",Davenport,51.58,12
12/13/13,"Grand Valley State-Laker Turf Building - Allendale, MI","Frens, Sam",Davenport,54.18,13
12/13/13,"Grand Valley State-Laker Turf Building - Allendale, MI","Fox, Taylor",Calumet-St. Joseph,57.95,14
12/13/13,"Grand Valley State-Laker Turf Building - Allendale, MI","Manyek, Thomas ",Calumet-St. Joseph,1:05.13,15
12/13/13,"Boise State-Jackson's Track - Nampa, ID","Andrade, Jordin",Boise State,48.75,1
12/13/13,"Boise State-Jackson's Track - Nampa, ID","Washington, Andre",Concordia (Ore.),48.93,2
12/13/13,"Boise State-Jackson's Track - Nampa, ID","Dordevic, Max",Unattached,49.19,3
12/13/13,"Boise State-Jackson's Track - Nampa, ID","Scheve, Bret",Boise State,49.33,4
12/13/13,"Boise State-Jackson's Track - Nampa, ID","Jones, Wes",Evergreen St.,50.99,5
12/13/13,"Boise State-Jackson's Track - Nampa, ID","Rusch, Logan",Utah Valley,51.12,6
12/13/13,"Boise State-Jackson's Track - Nampa, ID","Odle, Cole",Utah Valley,51.28,7
12/13/13,"Boise State-Jackson's Track - Nampa, ID","Stanley, Rex",Boise State,51.36,8
12/12/13,"RIT-Gordon FH - Rochester, NY","Knapp, Jonmichael",Fredonia,51.83,1
12/12/13,"RIT-Gordon FH - Rochester, NY","Catalano, Russell",Fredonia,52.73,2
12/12/13,"RIT-Gordon FH - Rochester, NY","Crouse, Brant",Rochester,53.68,3
12/12/13,"RIT-Gordon FH - Rochester, NY","Nogan, Nick",Fredonia,54.22,4
12/12/13,"RIT-Gordon FH - Rochester, NY","Dettore-Schenkelberg, Frank",Rochester,54.34,5
12/12/13,"RIT-Gordon FH - Rochester, NY","Abdella, Trey",Fredonia,55.25,6
12/12/13,"RIT-Gordon FH - Rochester, NY","McDowell, James",St. John Fisher,55.70,7
12/12/13,"RIT-Gordon FH - Rochester, NY","Merchant, Jenoy",Nazareth,55.88,8
12/12/13,"RIT-Gordon FH - Rochester, NY","Sturgeon, Nate",Roberts Wesleyan,56.09,9
12/12/13,"RIT-Gordon FH - Rochester, NY","Popple, Jacob",St. John Fisher,58.71,10
12/10/13,"JDL Fast Track - Winston-Salem, NC","Eason, Ken",Unattached,54.17,1
12/10/13,"JDL Fast Track - Winston-Salem, NC","Ways, Aubrey",Unattached,55.18,2
12/10/13,"JDL Fast Track - Winston-Salem, NC","Carpenter, mike",Unattached,57.89,3
12/10/13,"JDL Fast Track - Winston-Salem, NC","O'Riley, Tim",Carolinas Track & Field C,58.60,4
12/10/13,"JDL Fast Track - Winston-Salem, NC","Cooley, Ian",Unattached,59.15,5
12/10/13,"JDL Fast Track - Winston-Salem, NC","Hilliard, Tyree",High Point Panthers,59.64,6
12/10/13,"JDL Fast Track - Winston-Salem, NC","Franklin, Malcolm",High Point Panthers,59.67,7
12/10/13,"JDL Fast Track - Winston-Salem, NC","johnson sr, corey",Unattached,1:04.53,8
12/10/13,"JDL Fast Track - Winston-Salem, NC","Tyler, Joshua",Unattached,1:05.53,9
12/10/13,"JDL Fast Track - Winston-Salem, NC","johnson jr, corey",Unattached,1:09.63,10
12/10/13,"JDL Fast Track - Winston-Salem, NC","Robinson, Kaleed",GREENSBORO BLAZERS,1:10.75,11
12/10/13,"JDL Fast Track - Winston-Salem, NC","Armentrout, Ben",Twin City Track Club,1:13.42,12
12/10/13,"JDL Fast Track - Winston-Salem, NC","miller, david",Greensboro Gladiators,1:14.28,13
12/10/13,"JDL Fast Track - Winston-Salem, NC","miller, daniel",Greensboro Gladiators,1:30.48,14
12/10/13,"JDL Fast Track - Winston-Salem, NC","cernak, derek",revolutions,1:31.02,15
12/08/13,"Fairleigh Dickinson-Rothman Center - Hackensack, NJ","Cisse, Mohamed",Fairleigh Dickinson,50.80,1
12/08/13,"Fairleigh Dickinson-Rothman Center - Hackensack, NJ","Robinson, Marquis",Fairleigh Dickinson,50.98,2
12/08/13,"Fairleigh Dickinson-Rothman Center - Hackensack, NJ","Williams, James",ECC-unitt,51.73,3
12/08/13,"Fairleigh Dickinson-Rothman Center - Hackensack, NJ","Wright, Roshane",York (N.Y.),52.23,4
12/08/13,"Fairleigh Dickinson-Rothman Center - Hackensack, NJ","Blackman, Austin ",Fairleigh Dickinson,52.97,5
12/08/13,"Fairleigh Dickinson-Rothman Center - Hackensack, NJ","Hodge, Shaquille",York (N.Y.),53.17,6
12/08/13,"Fairleigh Dickinson-Rothman Center - Hackensack, NJ","Joseph, Serjunior",Kcc wave,53.36,7
12/08/13,"Fairleigh Dickinson-Rothman Center - Hackensack, NJ","Lafleur, Joseph",Unattached,53.47,8
12/08/13,"Fairleigh Dickinson-Rothman Center - Hackensack, NJ","Delacruz, Diego",St. Francis (N.Y.),54.66,9
12/08/13,"Fairleigh Dickinson-Rothman Center - Hackensack, NJ","Laing, Christopher",CCNY,54.94,10
12/08/13,"Fairleigh Dickinson-Rothman Center - Hackensack, NJ","Medina, Jesus",York (N.Y.),55.33,11
12/08/13,"Fairleigh Dickinson-Rothman Center - Hackensack, NJ","Clarke, Jordon",Team Crowfitt,55.49,12
12/08/13,"Fairleigh Dickinson-Rothman Center - Hackensack, NJ","Rodriguez, Walter",Hunter,55.65,13
12/08/13,"Fairleigh Dickinson-Rothman Center - Hackensack, NJ","Denner, Anderson",Kcc wave,55.95,14
12/08/13,"Fairleigh Dickinson-Rothman Center - Hackensack, NJ","Kerr, Ajani",York (N.Y.),56.03,15
12/08/13,"Fairleigh Dickinson-Rothman Center - Hackensack, NJ","O'Brien, Kyle",New Jersey Institute,56.24,16
12/08/13,"Fairleigh Dickinson-Rothman Center - Hackensack, NJ","Rodriguez, Yelson",Team Crowfitt,56.50,17
12/08/13,"Fairleigh Dickinson-Rothman Center - Hackensack, NJ","Rickettes, John",York (N.Y.),57.93,18
12/08/13,"Fairleigh Dickinson-Rothman Center - Hackensack, NJ","Nunez, Janssel",CCNY,58.67,19
12/08/13,"Fairleigh Dickinson-Rothman Center - Hackensack, NJ","Ogundele, Oluwaseun",York (N.Y.),58.95,20
12/08/13,"Fairleigh Dickinson-Rothman Center - Hackensack, NJ","Lachapelle, Anderson",Kcc wave,1:00.55,21
12/08/13,"Fairleigh Dickinson-Rothman Center - Hackensack, NJ","Jeffrey, Roydon",York (N.Y.),1:01.93,22
12/08/13,"Fairleigh Dickinson-Rothman Center - Hackensack, NJ","Wagstaffe, Norman",Kcc wave,1:02.32,23
12/08/13,"Fairleigh Dickinson-Rothman Center - Hackensack, NJ","Tario, Andrew",Iona,1:02.69,24
12/08/13,"Fairleigh Dickinson-Rothman Center - Hackensack, NJ","Gonzalez, Williams",York (N.Y.),1:03.59,25
12/07/13,"Vermont-Gardner Collins Indoor Track - Burlington, VT","Williams, Lawrence",Hartford,52.15,1
12/07/13,"Vermont-Gardner Collins Indoor Track - Burlington, VT","Citrin, Ben",Vermont,52.43,2
12/07/13,"Vermont-Gardner Collins Indoor Track - Burlington, VT","Ricci, Cameron",Merrimack,53.72,3
12/07/13,"Vermont-Gardner Collins Indoor Track - Burlington, VT","Iosebashvili, Michael",Hartford,55.72,4
12/07/13,"Vermont-Gardner Collins Indoor Track - Burlington, VT","Quitzau, Erik",Hartford,57.29,5
12/07/13,"Vermont-Gardner Collins Indoor Track - Burlington, VT","Caruso, Joe",Merrimack,57.80,6
12/07/13,"Christopher Newport -Freeman Center - Newport News, VA","Edmonds, Joshua",St. Augustine's,49.81,1
12/07/13,"Christopher Newport -Freeman Center - Newport News, VA","Quarles, James",St. Augustine's,50.00,2
12/07/13,"Christopher Newport -Freeman Center - Newport News, VA","Chambers, Te'Shad",Virginia State,50.33,3
12/07/13,"Christopher Newport -Freeman Center - Newport News, VA","Cameron, Clive",Virginia State,50.52,4
12/07/13,"Christopher Newport -Freeman Center - Newport News, VA","Ellis Jr., Burkheart",St. Augustine's,50.55,5
12/07/13,"Christopher Newport -Freeman Center - Newport News, VA","Mbow, Elhadji",St. Augustine's,51.10,6
12/07/13,"Christopher Newport -Freeman Center - Newport News, VA","Smith, Donte",Methodist,51.26,7
12/07/13,"Christopher Newport -Freeman Center - Newport News, VA","Kellogg, William",Unattached,51.43,8
12/07/13,"Christopher Newport -Freeman Center - Newport News, VA","Wilson, Jamie",Unattached,51.83,9
12/07/13,"Christopher Newport -Freeman Center - Newport News, VA","Hewitt, Kevaughn",St. Augustine's,51.83,10
12/07/13,"Christopher Newport -Freeman Center - Newport News, VA","Oparakau, Uche",Prince George's CC,52.19,11
12/07/13,"Christopher Newport -Freeman Center - Newport News, VA","Moses, DaQuawn",Virginia State,52.40,12
12/07/13,"Christopher Newport -Freeman Center - Newport News, VA","Lynch, Marcelis",St. Augustine's,52.49,13
12/07/13,"Christopher Newport -Freeman Center - Newport News, VA","King Jr., John",St. Augustine's,52.50,14
12/07/13,"Christopher Newport -Freeman Center - Newport News, VA","Sainvil, Kevin",St. Augustine's,52.59,15
12/07/13,"Christopher Newport -Freeman Center - Newport News, VA","Jackson, Adrain",Unattached,52.87,16
12/07/13,"Christopher Newport -Freeman Center - Newport News, VA","Hairston, RaShawn",Christopher Newport,53.14,17
12/07/13,"Christopher Newport -Freeman Center - Newport News, VA","Young, Jarrell",Salisbury,53.31,18
12/07/13,"Christopher Newport -Freeman Center - Newport News, VA","Reyes, Aires",Virginia Wesleyan,53.37,19
12/07/13,"Christopher Newport -Freeman Center - Newport News, VA","Arrington, Davidson",N.C. Central,53.59,20
12/07/13,"Christopher Newport -Freeman Center - Newport News, VA","Fuller, Reginald",Speed Elite,54.05,21
12/07/13,"Christopher Newport -Freeman Center - Newport News, VA","Boykin-Roach , Brett",N.C. Central,54.08,22
12/07/13,"Christopher Newport -Freeman Center - Newport News, VA","White, Trey",Virginia Wesleyan,54.37,23
12/07/13,"Christopher Newport -Freeman Center - Newport News, VA","Edwards Jr., Carlton",N.C. Central,54.67,24
12/07/13,"Christopher Newport -Freeman Center - Newport News, VA","Goito, Amandji",Speed Elite,54.69,25
12/07/13,"Christopher Newport -Freeman Center - Newport News, VA","King, Sherod",Virginia Union,54.73,26
12/07/13,"Christopher Newport -Freeman Center - Newport News, VA","Mouafo Kengne, Issa",Prince George's CC,55.18,27
12/07/13,"Christopher Newport -Freeman Center - Newport News, VA","Sivels, Marquis",Virginia Wesleyan,55.53,28
12/07/13,"Christopher Newport -Freeman Center - Newport News, VA","Hawkins, Chrishaud",Virginia Wesleyan,55.68,29
12/07/13,"Christopher Newport -Freeman Center - Newport News, VA","Curry, Aaron",Salisbury,55.74,30
12/07/13,"Christopher Newport -Freeman Center - Newport News, VA","Baker, Abram",Unattached,57.62,31
12/07/13,"Christopher Newport -Freeman Center - Newport News, VA","Smith, Frank",Virginia Union,58.11,32
12/07/13,"Christopher Newport -Freeman Center - Newport News, VA","Lombardi, Matthew",Methodist,58.15,33
12/07/13,"Middle Tennessee St.-Murphy Center - Murfreesboro, TN","Tugumisirize, Emmanuel",Mid. Tenn. State,47.33,1
12/07/13,"Middle Tennessee St.-Murphy Center - Murfreesboro, TN","Palmer, Steven",Mid. Tenn. State,47.98,2
12/07/13,"Middle Tennessee St.-Murphy Center - Murfreesboro, TN","Redwine, Ja'Karyus",Western Kentucky,48.71,3
12/07/13,"Middle Tennessee St.-Murphy Center - Murfreesboro, TN","Winstead, Marcus",Western Kentucky,49.69,4
12/07/13,"Middle Tennessee St.-Murphy Center - Murfreesboro, TN","Stokes, Perry",Tennessee St.,50.56,5
12/07/13,"Middle Tennessee St.-Murphy Center - Murfreesboro, TN","Shelton, Demitrius",Mid. Tenn. State,50.58,6
12/07/13,"Middle Tennessee St.-Murphy Center - Murfreesboro, TN","Messick, James",Mid. Tenn. State,51.05,7
12/07/13,"Middle Tennessee St.-Murphy Center - Murfreesboro, TN","Michael, Jahleel",Tennessee St.,51.90,8
12/07/13,"Middle Tennessee St.-Murphy Center - Murfreesboro, TN","Key, Tamorron",Tennessee St.,52.15,9
12/07/13,"Middle Tennessee St.-Murphy Center - Murfreesboro, TN","Griffin, Jason",Tennessee St.,52.16,10
12/07/13,"Middle Tennessee St.-Murphy Center - Murfreesboro, TN","Thornton, Emmanuel",Tennessee St.,52.29,11
12/07/13,"Middle Tennessee St.-Murphy Center - Murfreesboro, TN","Miller, Brandon",Unattached,53.61,12
12/07/13,"Middle Tennessee St.-Murphy Center - Murfreesboro, TN","Anderson, Kenji",Tennessee St.,53.67,13
12/07/13,"Middle Tennessee St.-Murphy Center - Murfreesboro, TN","Burton, Lamonte",Tennessee St.,54.20,14
12/07/13,"Middle Tennessee St.-Murphy Center - Murfreesboro, TN","Yelverton, William",Unattached,58.94,15
12/07/13,"Brown-Olney-Margolies AC - Providence, RI","O'Hare, Tom",Unattached,54.86,1
12/07/13,"Brown-Olney-Margolies AC - Providence, RI","Diessongo, Thierry",CCNY,55.80,2
12/07/13,"Bucknell-Gerhard Field House - Lewisburg, PA","Eaton Hall, Jacob",Bucknell,50.16,1
12/07/13,"Bucknell-Gerhard Field House - Lewisburg, PA","Kujawski, Andrew ",Shippensburg,50.18,2
12/07/13,"Bucknell-Gerhard Field House - Lewisburg, PA","Bales, Robert",Shippensburg,50.47,3
12/07/13,"Bucknell-Gerhard Field House - Lewisburg, PA","Bologa, Eric ",Shippensburg,50.51,4
12/07/13,"Bucknell-Gerhard Field House - Lewisburg, PA","Shuler, Trevor",St. Francis (Pa.),50.59,5
12/07/13,"Bucknell-Gerhard Field House - Lewisburg, PA","Shaw, Kevin ",Shippensburg,50.67,6
12/07/13,"Bucknell-Gerhard Field House - Lewisburg, PA","Usher, Timmy ",Shippensburg,51.31,7
12/07/13,"Bucknell-Gerhard Field House - Lewisburg, PA","Rybak, John",UMBC,51.45,8
12/07/13,"Bucknell-Gerhard Field House - Lewisburg, PA","Jones, Jordan",Shippensburg,51.55,9
12/07/13,"Bucknell-Gerhard Field House - Lewisburg, PA","Gipson, Sean",Unattached,51.69,10
12/07/13,"Bucknell-Gerhard Field House - Lewisburg, PA","Latchford, Andrew",Shippensburg,51.76,11
12/07/13,"Bucknell-Gerhard Field House - Lewisburg, PA","Smith, Ron",Kutztown,51.80,12
12/07/13,"Bucknell-Gerhard Field House - Lewisburg, PA","Sweeley, Nathan",Lock Haven,52.07,13
12/07/13,"Bucknell-Gerhard Field House - Lewisburg, PA","Ekanayake, Asanka",UMBC,52.23,14
12/07/13,"Bucknell-Gerhard Field House - Lewisburg, PA","Drozdowsky, Daniel",St. Francis (Pa.),52.32,15
12/07/13,"Bucknell-Gerhard Field House - Lewisburg, PA","Coaxum, Niko",UMBC,52.36,16
12/07/13,"Bucknell-Gerhard Field House - Lewisburg, PA","Raguz, Dominic ",Shippensburg,52.64,17
12/07/13,"Bucknell-Gerhard Field House - Lewisburg, PA","Tillman, Darnell ",York (Pa.),53.10,18
12/07/13,"Bucknell-Gerhard Field House - Lewisburg, PA","Lipsky, Tanner",Kutztown,53.43,19
12/07/13,"Bucknell-Gerhard Field House - Lewisburg, PA","Lee, Robert",Bloomsburg,53.79,20
12/07/13,"Bucknell-Gerhard Field House - Lewisburg, PA","Gallagher, Austin",Kutztown,54.37,21
12/07/13,"Bucknell-Gerhard Field House - Lewisburg, PA","McLendon, Michael ",UMBC,54.59,22
12/07/13,"Bucknell-Gerhard Field House - Lewisburg, PA","Robinson, Mychal",Kutztown,55.40,23
12/07/13,"Bucknell-Gerhard Field House - Lewisburg, PA","Mendoza, Brandon",Susquehanna,56.91,24
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Keba, Nick",Gwynedd-Mercy,50.52,1
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Le'Mon, Evan",Wesley,51.86,2
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","McAnulty, Dominic",Wesley,52.39,3
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Keyser, Erich",Ursinus,52.64,4
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Sanders, Shannon",Goucher,52.77,5
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Stone, Bobby",Gwynedd-Mercy,52.84,6
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Wilis-Lear, Kyree",Neumann,53.12,7
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Clinchoc, Jeremiah",Alvernia,53.35,8
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Walston, Cossion",Lebanon Valley,53.40,9
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Acevedo, Kevin",DeSales,53.47,10
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Kutz, Colby",Albright,53.68,11
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Harris, Raymond",Gwynedd-Mercy,53.70,12
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Sierzega, Anthony",Ursinus,53.82,13
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Maclin, Jacob",Catholic,53.93,14
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Baldwin, Bryan ",Elizabethtown,54.07,15
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Nazario, Matthew",Alvernia,54.08,16
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Glover, Kelvin",Cheyney,54.17,17
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Crenshaw, Johnny",Wesley,54.39,18
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","English, Christian",Keystone,54.50,19
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Miller, Brady",Messiah,54.62,20
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Sikanowicz, Zach",DeSales,54.66,21
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Sumpter, Marcus",Neumann,54.75,22
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Boles, Gregory",Dickinson,54.75,23
